miner_id,job_id,model_id,topic,if_contains_topic_in_s3_result,s3_url
0xec92b9871165d586dd46d561da69611e9dd8f513,heurist-llm-230373086677,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xec92b9871165d586dd46d561da69611e9dd8f513/openhermes-mixtral-8x7b-gptq/heurist-llm-230373086677-2024-05-13T01:43:11.521Z.json
0x846fcd0bb9ea2187f60b66b44f3acfbdd192584d,heurist-llm-853218940512,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x846fcd0bb9ea2187f60b66b44f3acfbdd192584d/openhermes-mixtral-8x7b-gptq/heurist-llm-853218940512-2024-05-13T01:44:23.260Z.json
0xb540306c2f00816a01b53ce4f6707d8b3a89e991,heurist-llm-907281230142,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xb540306c2f00816a01b53ce4f6707d8b3a89e991/openhermes-mixtral-8x7b-gptq/heurist-llm-907281230142-2024-05-13T01:45:27.627Z.json
0xfed9cd61a03a14c4995cc91189a004a198e1c468,heurist-llm-708500683739,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xfed9cd61a03a14c4995cc91189a004a198e1c468/openhermes-mixtral-8x7b-gptq/heurist-llm-708500683739-2024-05-13T01:50:08.616Z.json
0x67934a7d942932286c5e5863827b2012426acdc3,heurist-llm-163242607706,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x67934a7d942932286c5e5863827b2012426acdc3/openhermes-mixtral-8x7b-gptq/heurist-llm-163242607706-2024-05-13T01:47:14.533Z.json
0x9556954d412646d8b4cc020bd7494724855cc1a3,heurist-llm-962419546442,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x9556954d412646d8b4cc020bd7494724855cc1a3/openhermes-mixtral-8x7b-gptq/heurist-llm-962419546442-2024-05-13T01:49:08.677Z.json
0x4dcbaeda4fbf2ba5b9c783095389b99759d55792,heurist-llm-287209135227,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x4dcbaeda4fbf2ba5b9c783095389b99759d55792/openhermes-mixtral-8x7b-gptq/heurist-llm-287209135227-2024-05-13T01:51:21.600Z.json
0xb4c7ee6a81c7c3d9ab754a9b47b7130ec4f4319e,heurist-llm-601849011187,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xb4c7ee6a81c7c3d9ab754a9b47b7130ec4f4319e/openhermes-mixtral-8x7b-gptq/heurist-llm-601849011187-2024-05-13T01:51:20.371Z.json
0x6f2bbeb941ba4c6ceadb0fd78ad4d3b0b2f68370,heurist-llm-717632461581,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x6f2bbeb941ba4c6ceadb0fd78ad4d3b0b2f68370/openhermes-mixtral-8x7b-gptq/heurist-llm-717632461581-2024-05-13T01:51:31.837Z.json
0xffbc75edb5de4795fc6116c81e6badaf9dbb29eb,heurist-llm-501831159864,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xffbc75edb5de4795fc6116c81e6badaf9dbb29eb/openhermes-mixtral-8x7b-gptq/heurist-llm-501831159864-2024-05-13T01:58:24.136Z.json
0x055182471d8ac15887753d0358a22351e141331f,heurist-llm-715181806156,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x055182471d8ac15887753d0358a22351e141331f/openhermes-mixtral-8x7b-gptq/heurist-llm-715181806156-2024-05-13T01:55:49.552Z.json
0x08df372ad99a1729fcdcbd5cd6f761da818be83f,heurist-llm-718060525549,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x08df372ad99a1729fcdcbd5cd6f761da818be83f/openhermes-mixtral-8x7b-gptq/heurist-llm-718060525549-2024-05-13T01:56:37.985Z.json
0x1d07d2fd3d398cefef69bd64ee57c86e6e6f4b09,heurist-llm-964829703862,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x1d07d2fd3d398cefef69bd64ee57c86e6e6f4b09/openhermes-mixtral-8x7b-gptq/heurist-llm-964829703862-2024-05-13T01:58:53.570Z.json
0x5b1a330a83991e80f235880da6f36b1c7e3c5c9f,heurist-llm-672745175156,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x5b1a330a83991e80f235880da6f36b1c7e3c5c9f/openhermes-mixtral-8x7b-gptq/heurist-llm-672745175156-2024-05-13T01:58:47.839Z.json
0x2f013dd3c3b5ea40a8dbb807b332995cd9901802,heurist-llm-728467269668,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x2f013dd3c3b5ea40a8dbb807b332995cd9901802/openhermes-mixtral-8x7b-gptq/heurist-llm-728467269668-2024-05-13T01:59:34.456Z.json
0x41744b99666732d6660425ac9202fcea62c83f7e,heurist-llm-297840292085,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x41744b99666732d6660425ac9202fcea62c83f7e/openhermes-mixtral-8x7b-gptq/heurist-llm-297840292085-2024-05-13T02:00:40.235Z.json
0xbc030e04f2915b2cbf776090b2fd21b4bccd1842,heurist-llm-930805936097,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xbc030e04f2915b2cbf776090b2fd21b4bccd1842/openhermes-mixtral-8x7b-gptq/heurist-llm-930805936097-2024-05-13T02:05:09.502Z.json
0x9e53c803f72286f396b353fd6c060b8ad500cc46,heurist-llm-405124859232,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0x9e53c803f72286f396b353fd6c060b8ad500cc46/openhermes-mixtral-8x7b-gptq/heurist-llm-405124859232-2024-05-13T02:06:01.502Z.json
0xd7aef90ee6d1a20834b0a013602aec79d6563381,heurist-llm-768346210891,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xd7aef90ee6d1a20834b0a013602aec79d6563381/openhermes-mixtral-8x7b-gptq/heurist-llm-768346210891-2024-05-13T02:07:18.663Z.json
0xb8b4fe91ab32ef3aa88e34f5847f9c60d3798af4,heurist-llm-174343945403,openhermes-mixtral-8x7b-gptq,Beckham,False,s3://validator-history/0xb8b4fe91ab32ef3aa88e34f5847f9c60d3798af4/openhermes-mixtral-8x7b-gptq/heurist-llm-174343945403-2024-05-13T02:09:11.874Z.json
