miner_id,prob_job_1,prob_job_2
0x55d3bf16daeb9ab04fb7ab589b3925fd4f3db50d,s3://validator-history/0x55d3bf16daeb9ab04fb7ab589b3925fd4f3db50d/openhermes-mixtral-8x7b-gptq/heurist-llm-611241886553-2024-05-13T01:35:09.508Z.json,
0x660bfca9bc4925ac8dbf1e0c2dcebc20febd4bd0,s3://validator-history/0x660bfca9bc4925ac8dbf1e0c2dcebc20febd4bd0/openhermes-mixtral-8x7b-gptq/heurist-llm-505093292339-2024-05-13T01:35:38.882Z.json,s3://validator-history/0x660bfca9bc4925ac8dbf1e0c2dcebc20febd4bd0/openhermes-mixtral-8x7b-gptq/heurist-llm-554541919345-2024-05-23T15:12:25.505Z.json
0x30c958dcab153c7adae380582624186585727906,s3://validator-history/0x30c958dcab153c7adae380582624186585727906/openhermes-mixtral-8x7b-gptq/heurist-llm-796478677183-2024-05-13T01:36:23.826Z.json,s3://validator-history/0x30c958dcab153c7adae380582624186585727906/openhermes-mixtral-8x7b-gptq/heurist-llm-248226426298-2024-05-23T11:08:51.439Z.json
0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30,s3://validator-history/0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30/openhermes-mixtral-8x7b-gptq/heurist-llm-897304316481-2024-05-13T01:37:45.953Z.json,s3://validator-history/0xcc116cb9fc3afe9f3a3704eeca4233a31a978e30/openhermes-mixtral-8x7b-gptq/heurist-llm-315653616193-2024-05-23T08:03:38.986Z.json
0x65bdb40c4d474beea3584d74a70b5b7bdd778d5c,s3://validator-history/0x65bdb40c4d474beea3584d74a70b5b7bdd778d5c/openhermes-mixtral-8x7b-gptq/heurist-llm-684382592488-2024-05-13T01:40:23.742Z.json,s3://validator-history/0x65bdb40c4d474beea3584d74a70b5b7bdd778d5c/openhermes-mixtral-8x7b-gptq/heurist-llm-974767358217-2024-05-23T13:09:45.614Z.json
0x4b8fcaa7c817615728d934274bd4b251ab77e86e,s3://validator-history/0x4b8fcaa7c817615728d934274bd4b251ab77e86e/openhermes-mixtral-8x7b-gptq/heurist-llm-954721702477-2024-05-13T01:41:10.612Z.json,
0x0a2b71f4757ccf11707b3dc035fef55703cfb4cf,s3://validator-history/0x0a2b71f4757ccf11707b3dc035fef55703cfb4cf/openhermes-mixtral-8x7b-gptq/heurist-llm-198006871316-2024-05-13T01:42:47.217Z.json,
0xec92b9871165d586dd46d561da69611e9dd8f513,s3://validator-history/0xec92b9871165d586dd46d561da69611e9dd8f513/openhermes-mixtral-8x7b-gptq/heurist-llm-230373086677-2024-05-13T01:43:11.521Z.json,s3://validator-history/0xec92b9871165d586dd46d561da69611e9dd8f513/openhermes-mixtral-8x7b-gptq/heurist-llm-882495433354-2024-05-23T08:05:00.897Z.json
0x846fcd0bb9ea2187f60b66b44f3acfbdd192584d,s3://validator-history/0x846fcd0bb9ea2187f60b66b44f3acfbdd192584d/openhermes-mixtral-8x7b-gptq/heurist-llm-853218940512-2024-05-13T01:44:23.260Z.json,s3://validator-history/0x846fcd0bb9ea2187f60b66b44f3acfbdd192584d/openhermes-mixtral-8x7b-gptq/heurist-llm-160456852193-2024-05-23T13:04:50.625Z.json
0xb540306c2f00816a01b53ce4f6707d8b3a89e991,s3://validator-history/0xb540306c2f00816a01b53ce4f6707d8b3a89e991/openhermes-mixtral-8x7b-gptq/heurist-llm-907281230142-2024-05-13T01:45:27.627Z.json,
0xfed9cd61a03a14c4995cc91189a004a198e1c468,s3://validator-history/0xfed9cd61a03a14c4995cc91189a004a198e1c468/openhermes-mixtral-8x7b-gptq/heurist-llm-708500683739-2024-05-13T01:50:08.616Z.json,s3://validator-history/0xfed9cd61a03a14c4995cc91189a004a198e1c468/openhermes-mixtral-8x7b-gptq/heurist-llm-385188229845-2024-05-23T12:59:20.416Z.json
0x67934a7d942932286c5e5863827b2012426acdc3,s3://validator-history/0x67934a7d942932286c5e5863827b2012426acdc3/openhermes-mixtral-8x7b-gptq/heurist-llm-163242607706-2024-05-13T01:47:14.533Z.json,
0x9556954d412646d8b4cc020bd7494724855cc1a3,s3://validator-history/0x9556954d412646d8b4cc020bd7494724855cc1a3/openhermes-mixtral-8x7b-gptq/heurist-llm-962419546442-2024-05-13T01:49:08.677Z.json,s3://validator-history/0x9556954d412646d8b4cc020bd7494724855cc1a3/openhermes-mixtral-8x7b-gptq/heurist-llm-581692064391-2024-05-23T10:32:54.558Z.json
0x4dcbaeda4fbf2ba5b9c783095389b99759d55792,s3://validator-history/0x4dcbaeda4fbf2ba5b9c783095389b99759d55792/openhermes-mixtral-8x7b-gptq/heurist-llm-287209135227-2024-05-13T01:51:21.600Z.json,s3://validator-history/0x4dcbaeda4fbf2ba5b9c783095389b99759d55792/openhermes-mixtral-8x7b-gptq/heurist-llm-114028908438-2024-05-23T10:44:22.258Z.json
0xb4c7ee6a81c7c3d9ab754a9b47b7130ec4f4319e,s3://validator-history/0xb4c7ee6a81c7c3d9ab754a9b47b7130ec4f4319e/openhermes-mixtral-8x7b-gptq/heurist-llm-601849011187-2024-05-13T01:51:20.371Z.json,
0x6f2bbeb941ba4c6ceadb0fd78ad4d3b0b2f68370,s3://validator-history/0x6f2bbeb941ba4c6ceadb0fd78ad4d3b0b2f68370/openhermes-mixtral-8x7b-gptq/heurist-llm-717632461581-2024-05-13T01:51:31.837Z.json,
0xffbc75edb5de4795fc6116c81e6badaf9dbb29eb,s3://validator-history/0xffbc75edb5de4795fc6116c81e6badaf9dbb29eb/openhermes-mixtral-8x7b-gptq/heurist-llm-501831159864-2024-05-13T01:58:24.136Z.json,s3://validator-history/0xffbc75edb5de4795fc6116c81e6badaf9dbb29eb/openhermes-mixtral-8x7b-gptq/heurist-llm-158500527610-2024-05-23T18:20:14.666Z.json
0x055182471d8ac15887753d0358a22351e141331f,s3://validator-history/0x055182471d8ac15887753d0358a22351e141331f/openhermes-mixtral-8x7b-gptq/heurist-llm-715181806156-2024-05-13T01:55:49.552Z.json,
0x08df372ad99a1729fcdcbd5cd6f761da818be83f,s3://validator-history/0x08df372ad99a1729fcdcbd5cd6f761da818be83f/openhermes-mixtral-8x7b-gptq/heurist-llm-718060525549-2024-05-13T01:56:37.985Z.json,
0x1d07d2fd3d398cefef69bd64ee57c86e6e6f4b09,s3://validator-history/0x1d07d2fd3d398cefef69bd64ee57c86e6e6f4b09/openhermes-mixtral-8x7b-gptq/heurist-llm-964829703862-2024-05-13T01:58:53.570Z.json,s3://validator-history/0x1d07d2fd3d398cefef69bd64ee57c86e6e6f4b09/openhermes-mixtral-8x7b-gptq/heurist-llm-491186314944-2024-05-23T16:22:02.580Z.json
0x5b1a330a83991e80f235880da6f36b1c7e3c5c9f,s3://validator-history/0x5b1a330a83991e80f235880da6f36b1c7e3c5c9f/openhermes-mixtral-8x7b-gptq/heurist-llm-672745175156-2024-05-13T01:58:47.839Z.json,s3://validator-history/0x5b1a330a83991e80f235880da6f36b1c7e3c5c9f/openhermes-mixtral-8x7b-gptq/heurist-llm-647115627646-2024-05-23T08:28:53.538Z.json
0x2f013dd3c3b5ea40a8dbb807b332995cd9901802,s3://validator-history/0x2f013dd3c3b5ea40a8dbb807b332995cd9901802/openhermes-mixtral-8x7b-gptq/heurist-llm-728467269668-2024-05-13T01:59:34.456Z.json,s3://validator-history/0x2f013dd3c3b5ea40a8dbb807b332995cd9901802/openhermes-mixtral-8x7b-gptq/heurist-llm-487000873237-2024-05-23T09:27:36.285Z.json
0x41744b99666732d6660425ac9202fcea62c83f7e,s3://validator-history/0x41744b99666732d6660425ac9202fcea62c83f7e/openhermes-mixtral-8x7b-gptq/heurist-llm-297840292085-2024-05-13T02:00:40.235Z.json,
0xbc030e04f2915b2cbf776090b2fd21b4bccd1842,s3://validator-history/0xbc030e04f2915b2cbf776090b2fd21b4bccd1842/openhermes-mixtral-8x7b-gptq/heurist-llm-930805936097-2024-05-13T02:05:09.502Z.json,
0x9e53c803f72286f396b353fd6c060b8ad500cc46,s3://validator-history/0x9e53c803f72286f396b353fd6c060b8ad500cc46/openhermes-mixtral-8x7b-gptq/heurist-llm-405124859232-2024-05-13T02:06:01.502Z.json,s3://validator-history/0x9e53c803f72286f396b353fd6c060b8ad500cc46/openhermes-mixtral-8x7b-gptq/heurist-llm-687935931020-2024-05-23T09:35:17.057Z.json
0xd7aef90ee6d1a20834b0a013602aec79d6563381,s3://validator-history/0xd7aef90ee6d1a20834b0a013602aec79d6563381/openhermes-mixtral-8x7b-gptq/heurist-llm-768346210891-2024-05-13T02:07:18.663Z.json,s3://validator-history/0xd7aef90ee6d1a20834b0a013602aec79d6563381/openhermes-mixtral-8x7b-gptq/heurist-llm-666711324364-2024-05-23T14:50:03.579Z.json
0xb8b4fe91ab32ef3aa88e34f5847f9c60d3798af4,s3://validator-history/0xb8b4fe91ab32ef3aa88e34f5847f9c60d3798af4/openhermes-mixtral-8x7b-gptq/heurist-llm-174343945403-2024-05-13T02:09:11.874Z.json,
0x6ece1fe72780f3a79a0cfdcfb5671f7d1e358b95,s3://validator-history/0x6ece1fe72780f3a79a0cfdcfb5671f7d1e358b95/openhermes-mixtral-8x7b-gptq/heurist-llm-261001077098-2024-05-13T02:10:42.807Z.json,
0xad7101b5b5c63294523e3d95c5514a7ae11469cb,s3://validator-history/0xad7101b5b5c63294523e3d95c5514a7ae11469cb/openhermes-mixtral-8x7b-gptq/heurist-llm-752867624110-2024-05-13T02:13:01.043Z.json,s3://validator-history/0xad7101b5b5c63294523e3d95c5514a7ae11469cb/openhermes-mixtral-8x7b-gptq/heurist-llm-474067109820-2024-05-23T09:26:58.268Z.json
0xf1d299afacd9ef62e1df1497fa79dc7352be0597,s3://validator-history/0xf1d299afacd9ef62e1df1497fa79dc7352be0597/openhermes-mixtral-8x7b-gptq/heurist-llm-996014034559-2024-05-13T02:13:32.457Z.json,s3://validator-history/0xf1d299afacd9ef62e1df1497fa79dc7352be0597/openhermes-mixtral-8x7b-gptq/heurist-llm-218616547951-2024-05-23T15:21:43.990Z.json
